State,Year,Average
Himachal Pradesh,2013,15705.735377168
Jammu & Kashmir,2013,24949.8567896423
Jharkhand,2013,32726.7682777181
Karnataka,2013,34300.0095856746
Kerala,2013,40563.8892739088
Lakshadweep,2013,0.0
Madhya Pradesh,2013,74291.6045799504
Maharashtra,2013,57903.2288323054
Manipur,2013,18584.6003589472
Meghalaya,2013,29217.1566349528
Mizoram,2013,4085.7960262392
NCT of Delhi,2013,4311.3331963402
Nagaland,2013,11687.5368820368
Odisha,2013,38706.622450738
Puducherry,2013,7348.3918393544
Punjab,2013,16061.0119584678
Rajasthan,2013,25760.6117976203
Sikkim,2013,12802.9967451268
Tamil Nadu,2013,17063.8371688912
Telangana,2013,42775.4566779496
Tripura,2013,11261.4243557152
Uttar Pradesh,2013,72456.9288153948
Uttarakhand,2013,17228.1455638194
West Bengal,2013,30796.9351355776
Andaman & Nicobar Island,2014,0.0
Andhra Pradesh,2014,2410.1680578716
Arunanchal Pradesh,2014,50212.1132109268
Assam,2014,62533.909678825
Bihar,2014,41783.6526571736
Chandigarh,2014,819.2243755088
Chhattisgarh,2014,37640.0753340565
Dadara & Nagar Havelli,2014,2376.788094002
Daman & Diu,2014,2084.0489031857
Goa,2014,7397.8219434221
Gujarat,2014,23157.3815179092
Haryana,2014,9023.3713690946
Himachal Pradesh,2014,12805.9316858877
Jammu & Kashmir,2014,29663.6645877833
Jharkhand,2014,27825.081530436
Karnataka,2014,34437.9305443726
Kerala,2014,38643.2978475054
Lakshadweep,2014,0.0
Madhya Pradesh,2014,46467.065828471
Maharashtra,2014,42566.6207674026
Manipur,2014,14073.567781198
Meghalaya,2014,38054.1163396291
Mizoram,2014,4384.3976120134
NCT of Delhi,2014,2646.8444305809003
Nagaland,2014,9851.1033665736
Odisha,2014,36721.9518664968
Puducherry,2014,7017.5557145342
Punjab,2014,11599.2899009525
Rajasthan,2014,19353.0505353169
Sikkim,2014,11505.8116117166
Tamil Nadu,2014,19920.576415133
Telangana,2014,25029.2189539455
Tripura,2014,10831.1009794382
Uttar Pradesh,2014,46047.954742406
Uttarakhand,2014,12588.0955683034
West Bengal,2014,25371.2334164474
Andaman & Nicobar Island,2015,0.0
Andhra Pradesh,2015,13246.5901779721
Arunanchal Pradesh,2015,63981.613145229
Assam,2015,67799.8992473336
Bihar,2015,36345.313012829
Chandigarh,2015,824.4009547607
Chhattisgarh,2015,32565.3762433531
Dadara & Nagar Havelli,2015,1630.0465765154
Daman & Diu,2015,2021.9970483296
Goa,2015,4997.3057796443
Gujarat,2015,21382.3022736626
Haryana,2015,12049.290516884
Himachal Pradesh,2015,14413.5638361101
Jammu & Kashmir,2015,35523.3791182839
Jharkhand,2015,27893.4025336895
Karnataka,2015,32732.3072730395
Kerala,2015,33528.8176067259
Lakshadweep,2015,0.0
Madhya Pradesh,2015,51258.5728029107
Maharashtra,2015,36860.6311093388
Manipur,2015,22282.4752832401
Meghalaya,2015,51093.87737220741
Mizoram,2015,15330.3644818902
NCT of Delhi,2015,4284.8937618587
Nagaland,2015,17249.1768902385
Odisha,2015,35733.2734348737
Puducherry,2015,7858.3072922225
Punjab,2015,14386.8737310617
Rajasthan,2015,20499.0758265695
Sikkim,2015,23669.5161816994
Tamil Nadu,2015,46389.9725419393
Telangana,2015,27481.7509112809
Tripura,2015,17437.2262443433
Uttar Pradesh,2015,45329.7266990058
Uttarakhand,2015,15820.3590522995
West Bengal,2015,45777.4862390947
Andaman & Nicobar Island,2016,0.0
Andhra Pradesh,2016,10759.8132957673
Arunanchal Pradesh,2016,76956.1833179172
Assam,2016,72517.7140953458
Bihar,2016,44359.6444628397
Chandigarh,2016,575.2533901859
Chhattisgarh,2016,37143.9542289664
Dadara & Nagar Havelli,2016,2898.6797007548003
Daman & Diu,2016,3489.4636917304
Goa,2016,5534.2738837739
Gujarat,2016,25621.1066177807
Haryana,2016,10078.3686074091
Himachal Pradesh,2016,11592.7012326218
Jammu & Kashmir,2016,18958.180897925
Jharkhand,2016,29408.1546289177
Karnataka,2016,25292.0934411536
Kerala,2016,23086.5460170714
Lakshadweep,2016,0.0
Madhya Pradesh,2016,60316.9217360953
Maharashtra,2016,52438.0625103793
Manipur,2016,26244.5191681882
Meghalaya,2016,41060.3469216139
Mizoram,2016,18009.8979779482
NCT of Delhi,2016,3089.1023843958
Nagaland,2016,21531.6479824833
Odisha,2016,38016.4014537949
Puducherry,2016,4824.2782000353
Punjab,2016,11635.4655342196
Rajasthan,2016,24685.0004276699
Sikkim,2016,22453.6068183486
Tamil Nadu,2016,20224.6544313988
Telangana,2016,35662.1140316924
Tripura,2016,18505.8189053371
Uttar Pradesh,2016,58687.0732191328
Uttarakhand,2016,17855.1378427866
West Bengal,2016,43447.7604260237
Andaman & Nicobar Island,2017,0.0
Andhra Pradesh,2017,11780.2495411779
Arunanchal Pradesh,2017,77108.443616834
Assam,2017,78434.6832782283
Bihar,2017,42813.7385518214
Chandigarh,2017,896.0250523537001
Chhattisgarh,2017,32033.6074121239
Dadara & Nagar Havelli,2017,3303.6205191096
Daman & Diu,2017,3505.5612064727
Goa,2017,5638.3176228141
Gujarat,2017,31209.06474033209
Haryana,2017,11144.9586000239
Himachal Pradesh,2017,14068.5389563985
Jammu & Kashmir,2017,27255.0155419767
Jharkhand,2017,30433.8146800895
Karnataka,2017,34127.039827519104
Kerala,2017,33607.3346096817
Lakshadweep,2017,0.0
Madhya Pradesh,2017,40109.3071599733
Maharashtra,2017,47805.6781255898
Manipur,2017,33038.0167408129
Meghalaya,2017,48740.370629673
Mizoram,2017,29147.7514953349
NCT of Delhi,2017,3170.4381842636
Nagaland,2017,21270.4492662435
Odisha,2017,39827.4990850499
Puducherry,2017,6982.0572557936
Punjab,2017,13045.5772687417
Rajasthan,2017,18746.0016757588
Sikkim,2017,22756.451452965
Tamil Nadu,2017,36137.6829235741
Telangana,2017,28383.6329573335
Tripura,2017,23705.0032355798
Uttar Pradesh,2017,51096.6684933417
Uttarakhand,2017,20033.7879718495
West Bengal,2017,46443.9845634642
Andaman & Nicobar Island,2018,0.0
Andhra Pradesh,2018,9064.543930279
Arunanchal Pradesh,2018,55972.9090448106
Assam,2018,60765.477619205
Bihar,2018,33036.143862916
Chandigarh,2018,1078.296539309
Chhattisgarh,2018,33680.862035771
Dadara & Nagar Havelli,2018,2303.407745985
Daman & Diu,2018,3307.015525331
Goa,2018,6321.533194787
Gujarat,2018,22303.7739581498
Haryana,2018,12499.33920538
Himachal Pradesh,2018,13996.80489868
Jammu & Kashmir,2018,22668.449341404
Jharkhand,2018,23157.363415215
Karnataka,2018,32453.174772813
Kerala,2018,36171.746566598
Lakshadweep,2018,0.0
Madhya Pradesh,2018,45345.901507545
Maharashtra,2018,41862.579918189
Manipur,2018,21104.177159932
Meghalaya,2018,29939.236954882
Mizoram,2018,19006.888361087
NCT of Delhi,2018,3329.951737206
Nagaland,2018,19124.290159009
Odisha,2018,47564.402731104
Puducherry,2018,5487.190230576
Punjab,2018,16025.391496911
Rajasthan,2018,19188.424808075
Sikkim,2018,23661.546966266
Tamil Nadu,2018,20950.559935228
Telangana,2018,28596.428202431
Tripura,2018,17180.117329848
Uttar Pradesh,2018,61941.041179367
Uttarakhand,2018,20065.246224407
West Bengal,2018,36961.806388467
Andaman & Nicobar Island,2019,0.0
Andhra Pradesh,2019,12451.941292137
Arunanchal Pradesh,2019,63103.357650531
Assam,2019,72560.935743233
Bihar,2019,45454.8241654745
Chandigarh,2019,934.745684727
Chhattisgarh,2019,40501.279547206
Dadara & Nagar Havelli,2019,3814.753210748
Daman & Diu,2019,4213.679955772
Goa,2019,9493.649511402
Gujarat,2019,41218.2137156597
Haryana,2019,9883.580104284
Himachal Pradesh,2019,13974.864057909
Jammu & Kashmir,2019,31879.657280494
Jharkhand,2019,28150.252741144
Karnataka,2019,40139.991114353
Kerala,2019,39860.722574811
Lakshadweep,2019,0.0
Madhya Pradesh,2019,72725.5386213043
Maharashtra,2019,63891.868613578
Manipur,2019,15938.549492631
Meghalaya,2019,42707.509728495
Mizoram,2019,14329.156572016
NCT of Delhi,2019,3120.229146049
Nagaland,2019,16166.614978784
Odisha,2019,47461.859183268
Puducherry,2019,8095.21630089
Punjab,2019,16580.68663198
Rajasthan,2019,28537.4132453268
Sikkim,2019,23529.996327254
Tamil Nadu,2019,34204.735136588
Telangana,2019,36238.795354065
Tripura,2019,18101.762190017
Uttar Pradesh,2019,63565.170614265
Uttarakhand,2019,18982.708320944
West Bengal,2019,41906.0281312941
Andaman & Nicobar Island,2020,341.14342906
Andhra Pradesh,2020,8705.598075327
Arunanchal Pradesh,2020,40423.110661834
Assam,2020,50760.059033721
Bihar,2020,44949.006607906
Chandigarh,2020,780.961315138
Chhattisgarh,2020,31995.269361043
Dadara & Nagar Havelli,2020,614.1143855610001
Daman & Diu,2020,2345.318176415
Goa,2020,2784.472822575
Gujarat,2020,11806.091542722
Haryana,2020,13035.632283679
Himachal Pradesh,2020,12475.047601537
Jammu & Kashmir,2020,29553.48025514
Jharkhand,2020,30096.409491785
Karnataka,2020,20205.4128686607
Kerala,2020,17604.909932554
Lakshadweep,2020,402.982190784
Madhya Pradesh,2020,35175.8014717749
Maharashtra,2020,24184.398335602
Manipur,2020,14646.593764564
Meghalaya,2020,30986.830254414
Mizoram,2020,7081.650286945
NCT of Delhi,2020,10705.22531325
Nagaland,2020,10215.5130449404
Odisha,2020,34003.115259024
Puducherry,2020,9023.043109242
Punjab,2020,13631.777595559
Rajasthan,2020,12677.499624276
Sikkim,2020,13743.910577082
Tamil Nadu,2020,20971.66787788
Telangana,2020,23846.10934349
Tripura,2020,11098.233481624
Uttar Pradesh,2020,62869.408577764
Uttarakhand,2020,17551.611589463
West Bengal,2020,34836.2526445522
Andaman & Nicobar Island,2021,0.0
Andhra Pradesh,2021,15507.434648646
Arunanchal Pradesh,2021,49854.383592529
Assam,2021,55547.222022859
Bihar,2021,57880.886049054
Chandigarh,2021,848.2
Chhattisgarh,2021,36011.958644792
Dadara & Nagar Havelli,2021,3018.674293285
Daman & Diu,2021,3538.438608665
Goa,2021,8389.589337
Gujarat,2021,30853.3835253374
Haryana,2021,16908.951723582
Himachal Pradesh,2021,13163.717968466
Jammu & Kashmir,2021,23641.226554612
Jharkhand,2021,35785.617844152
Karnataka,2021,44081.8606068528
Kerala,2021,46997.062134121
Lakshadweep,2021,0.0
Madhya Pradesh,2021,56758.8116296338
Maharashtra,2021,57986.003345302
Manipur,2021,15518.304967923
Meghalaya,2021,40204.068620904
Mizoram,2021,14199.652999756
NCT of Delhi,2021,18642.922925206
Nagaland,2021,11788.4082752066
Odisha,2021,44534.288931794
Puducherry,2021,9235.254971844
Punjab,2021,14632.420319972
Rajasthan,2021,24345.418736496
Sikkim,2021,12143.139180395
Tamil Nadu,2021,52750.787048665
Telangana,2021,39837.032890637
Tripura,2021,14112.726592786
Uttar Pradesh,2021,76211.3763259469
Uttarakhand,2021,22872.418198685
West Bengal,2021,48789.9328770658
Andaman & Nicobar Island,2022,0.0
Andhra Pradesh,2022,12601.4272008136
Arunanchal Pradesh,2022,65965.8451152235
Assam,2022,79615.3600324771
Bihar,2022,37748.633048546
Chandigarh,2022,1127.7301359264
Chhattisgarh,2022,36861.5173627154
Dadara & Nagar Havelli,2022,3527.9419683546
Daman & Diu,2022,4281.0503361003
Goa,2022,6154.1860571172
Gujarat,2022,35806.9457135672
Haryana,2022,15879.3747615731
Himachal Pradesh,2022,13113.5491473456
Jammu & Kashmir,2022,23283.1575470173
Jharkhand,2022,22605.8493731218
Karnataka,2022,41295.6574514246
Kerala,2022,34358.3359177281
Lakshadweep,2022,0.0
Madhya Pradesh,2022,63054.9556255729
Maharashtra,2022,53533.9824913679
Manipur,2022,23036.6101056996
Meghalaya,2022,52513.4056527931
Mizoram,2022,13652.5841806201
NCT of Delhi,2022,14630.3818763301
Nagaland,2022,15516.4638606286
Odisha,2022,41225.7869091883
Puducherry,2022,5949.5694438042
Punjab,2022,15312.010912484
Rajasthan,2022,24984.5220146772
Sikkim,2022,11233.1215197204
Tamil Nadu,2022,33889.456932034
Telangana,2022,43947.8417864833
Tripura,2022,14933.172445347
Uttar Pradesh,2022,62265.7674227695
Uttarakhand,2022,17806.0830516061
West Bengal,2022,38183.1377269174
Andaman & Nicobar Island,2023,0.0
Andhra Pradesh,2023,8786.180712552
Arunanchal Pradesh,2023,40918.9929532114
Assam,2023,60132.9497008699
Bihar,2023,32565.4654837558
Chandigarh,2023,1331.446
Chhattisgarh,2023,31036.7673461642
Dadara & Nagar Havelli,2023,2075.1515466664
Daman & Diu,2023,2860.9939669352
Goa,2023,5611.8005997211
Gujarat,2023,28713.3065725501
Haryana,2023,14324.1736216156
Himachal Pradesh,2023,14233.6228174974
Jammu & Kashmir,2023,22279.2324065519
Jharkhand,2023,21600.5153949515
Karnataka,2023,22489.7042332647
Kerala,2023,27878.8871631764
Lakshadweep,2023,0.0
Madhya Pradesh,2023,48189.0244539367
Maharashtra,2023,36397.7689725051
Manipur,2023,14495.5173462645
Meghalaya,2023,27118.9257064937
Mizoram,2023,11652.3893242307
NCT of Delhi,2023,7422.6646234067
Nagaland,2023,16511.9687942015
Odisha,2023,35988.3359051363
Puducherry,2023,4963.2400628105
Punjab,2023,16737.0870778032
Rajasthan,2023,20716.1088453341
Sikkim,2023,9660.5274962293
Tamil Nadu,2023,31582.9674682937
Telangana,2023,29340.0132126593
Tripura,2023,14012.9993120102
Uttar Pradesh,2023,53803.4191980362
Uttarakhand,2023,17257.4797622866
West Bengal,2023,34883.9441575622
